longitude;latitude;code_commune_station;libelle
7.673800274;48.411079645;67130;ERSTEIN
7.608378264;48.313607097;67545;WITTERNHEIM
7.60499745;48.293505579;67040;BINDERNHEIM
7.687710553;48.405555171;67130;ERSTEIN
7.630745207;48.347440671;67192;HERBSHEIM
7.704857224;48.488761674;67137;FEGERSHEIM
7.421545239;48.385861315;67010;ANDLAU
7.590513116;48.442398298;67438;SCHAEFFERSHEIM
7.511774279;48.451952387;67329;NIEDERNAI
7.15460858;48.404130926;67436;SAULXURES
7.243821655;48.394148559;67513;WALDERSBACH
7.266440949;48.433789404;67314;NATZWILLER
7.274643538;48.504757717;67420;RUSS
7.274850962;48.504736747;67420;RUSS
7.253960897;48.496140335;67420;RUSS
7.344241812;48.492734967;67411;ROSHEIM
7.319030945;48.485177217;67167;GRENDELBRUCH
7.448491287;48.532779252;67313;MUTZIG
7.448491287;48.532779252;67313;MUTZIG
7.44603508;48.534529057;67313;MUTZIG
7.305449588;48.634866662;67122;WANGENBOURG-ENGENTHAL
7.426402352;48.633726719;67520;WASSELONNE
7.488955244;48.572843439;67473;SOULTZ-LES-BAINS
7.514301149;48.566512745;67554;WOLXHEIM
7.633487342;48.556802631;67212;HOLTZHEIM
7.656891506;48.568728462;67350;OBERSCHAEFFOLSHEIM
7.636941539;48.558713378;67212;HOLTZHEIM
7.730214552;48.639518152;67309;MUNDOLSHEIM
8.195814153;48.958117782;67261;LAUTERBOURG
7.544600495;48.844606156;67347;OBERMODERN-ZUTZENDORF
7.730016182;48.826175359;67458;SCHWEIGHOUSE-SUR-MODER
7.725576442;48.830180151;67458;SCHWEIGHOUSE-SUR-MODER
7.656669052;48.895542282;67176;GUNDERSHOFFEN
7.742593492;48.822388099;67458;SCHWEIGHOUSE-SUR-MODER
7.842963825;48.7914006;67230;KALTENHOUSE
7.332793134;48.728811149;;
7.310495367;48.799588457;67117;ECKARTSWILLER
7.633681563;48.749633549;67516;WALTENHEIM-SUR-ZORN
7.78089016;48.711312337;67205;HŒRDT
7.774014171;48.711759194;67205;HŒRDT
7.952084592;48.761293865;67106;DRUSENHEIM
8.136368679;48.885497686;99109;
7.757499063;48.959105711;67160;GŒRSDORF
8.007495391;48.84077133;67264;LEUTENHEIM
8.068490485;48.859935533;67025;BEINHEIM
8.048648677;48.903597628;67330;NIEDERRŒDERN
8.305047404;49.038557642;99109;
7.903052385;49.043418903;67544;WISSEMBOURG
6.796285291;47.866921289;88188;FRESSE-SUR-MOSELLE
6.685918446;47.909444585;88408;RUPT-SUR-MOSELLE
6.715932814;47.993393232;88486;VAGNEY
6.712742978;47.995755306;88486;VAGNEY
6.690262579;48.053182554;88109;CLEURIE
6.611130574;48.0670775;88429;SAINT-NABORD
6.597121367;48.019771926;88383;REMIREMONT
6.979568272;48.05911653;88531;XONRUPT-LONGEMER
6.852029607;48.064377844;88196;GERARDMER
6.941613372;48.077882081;88531;XONRUPT-LONGEMER
6.861647627;48.072216278;88196;GERARDMER
6.864081353;48.067073087;88196;GERARDMER
6.751787233;48.185384011;88262;LAVELINE-DEVANT-BRUYERES
6.603384721;48.13289237;88101;CHENIMENIL
6.60451241;48.133839733;88101;CHENIMENIL
6.534353065;48.100474818;88011;ARCHES
6.45298063;48.165666233;88160;EPINAL
6.409176894;48.303967877;88497;VAXONCOURT
6.521628104;48.198304599;88132;DEYVILLERS
6.391243047;48.312435289;88094;CHATEL-SUR-MOSELLE
6.367099557;48.292520452;88190;FRIZON
6.442433122;48.413933748;54471;SAINT-BOINGT
6.367017675;48.45016409;54567;VILLACOURT
6.260215116;48.536106708;54527;TONNOY
6.263786438;48.532281282;54559;VELLE-SUR-MOSELLE
6.292144182;48.506135814;54479;SAINT-MARD
6.149771693;48.213998759;88047;BEGNECOURT
6.174694523;48.259607832;88499;VELOTTE-ET-TATIGNECOURT
6.136364634;48.303258474;88304;MIRECOURT
6.136368819;48.302195849;88304;MIRECOURT
6.137338372;48.305330668;88304;MIRECOURT
6.192201569;48.374970432;88529;XARONVAL
6.13958568;48.530640115;54032;AUTREY
6.110970958;48.50573482;54266;HOUDREVILLE
6.131545756;48.545355659;54437;PULLIGNY
6.100577715;48.607446187;54432;PONT-SAINT-VINCENT
5.909210656;48.62643654;54073;BICQUELEY
5.882086991;48.676816629;54528;TOUL
5.896401748;48.66976408;54528;TOUL
5.991128451;48.743751172;54584;VILLEY-SAINT-ETIENNE
7.002528782;48.184729703;88181;FRAIZE
6.956897222;48.284422012;88413;SAINT-DIE-DES-VOSGES
6.884612131;48.381673137;88319;MOYENMOUTIER
6.845062409;48.402032182;88372;RAON-L'ETAPE
6.877878865;48.416320357;88372;RAON-L'ETAPE
6.509208597;48.556567604;54260;HERIMENIL
6.738612663;48.44923718;54039;BACCARAT
6.740048847;48.447732868;54039;BACCARAT
6.481032756;48.582850801;54329;LUNEVILLE
6.481852394;48.582727764;54329;LUNEVILLE
6.943052144;48.582756863;54129;CIREY-SUR-VEZOUZE
6.84386108;48.588048788;54077;BLAMONT
6.845033347;48.588299085;54077;BLAMONT
